Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q3,0.755,49859
Q1,0.1621,32382
Q4,0.9598,62671
Q4,0.5008,33096
Q2,0.5067,39415
Q4,0.7124,51054
Q1,0.508,39262
Q2,0.6843,47000
Q3,0.6012,38773
Q1,0.2435,44911
Q2,0.4963,36551
Q2,0.0686,31768
Q1,0.6347,49099
Q4,0.4603,44569
Q1,0.862,59402
Q4,0.8198,52371
Q2,0.6825,40226
Q3,0.7179,63663
Q3,0.6808,47399
Q2,0.6126,42529
Q3,0.7099,37361
Q3,0.7524,45449
Q2,0.6985,50643
Q4,0.7605,52854
Q2,0.5366,42152
Q4,1.0,54738
Q2,0.5336,38069
Q2,0.5831,37902
Q2,0.6247,35307
Q1,0.2222,37382
Q3,0.6649,43530
Q2,0.5906,45458
Q1,0.479,43408
Q3,0.9495,67867
Q1,0.2317,39609
Q2,0.6508,42320
Q2,0.5023,38047
Q3,0.4626,40823
Q3,0.4156,38145
Q2,0.63,44152
Q2,0.5972,50636
Q1,0.5565,45411
Q1,0.5515,42781
Q2,0.4786,39852
Q1,0.5356,40915
Q3,0.6368,43148
Q3,0.5276,35426
Q2,0.4616,40223
Q3,0.8762,46794
Q3,0.6404,38562
Q1,0.6679,40356
Q2,0.6227,39705
Q4,0.8235,57454
Q3,0.8733,46840
Q2,0.6741,30866
Q3,0.6667,44243
Q3,0.633,42262
Q2,0.6289,41501
Q2,0.6817,36747
Q3,0.7167,40989
Q3,0.5519,37618
Q3,0.646,35798
Q1,0.3971,35882
Q1,0.524,42002
Q2,0.6137,41642
Q2,0.3774,35502
Q1,0.5306,37717
Q1,0.4123,36878
Q1,0.4341,37115
Q1,0.3808,36707
Q1,0.7979,47001
Q1,0.3236,32739
Q1,0.3565,37322
Q1,0.445,37381
Q2,0.5568,39864
Q2,0.603,45860
Q3,0.7171,49124
Q4,0.9651,76123
Q1,0.5692,36933
Q4,0.8313,79785
Q2,0.5058,41658
Q2,0.5309,33202
Q3,0.8069,49118
Q3,0.7806,38679
Q3,0.6092,45217
Q3,0.655,47544
Q3,0.748,47697
Q2,0.6219,38666
Q3,0.6783,41571
Q3,0.6575,43095
Q3,0.617,43025
Q3,0.6743,36662
Q3,0.6555,41889
Q4,0.7779,54644
Q4,0.457,40489
Q1,0.8333,28962
Q2,0.5172,28349
Q2,0.4086,37822
Q3,0.5556,42643
Q3,0.8667,43599
Q2,0.7472,48810
Q4,0.2987,37352
Q2,0.7219,48768
Q3,0.6962,44088
Q3,0.7674,44001
Q1,0.4286,25124
Q3,0.5122,50376
Q3,0.6034,40553
Q3,0.5746,46497
Q2,0.6356,43071
Q3,0.6857,40388
Q4,0.6404,46441
Q2,1.0,53093
Q2,0.7093,43356
Q3,0.2706,43333
Q3,0.519,38821
Q3,0.6832,43742
Q3,0.3731,37570
Q3,0.6205,48706
Q4,0.6502,39168
Q3,0.3404,38134
Q3,0.4364,39732
Q1,0.4631,37417
Q1,0.4573,38240
Q3,0.4146,33128
Q3,0.4199,38504
Q1,0.4268,28432
Q4,0.6644,29960
Q2,0.6311,46973
Q2,0.4713,41657
Q2,0.6752,43557
Q3,0.4718,42374
Q3,0.3768,31427
Q4,0.38,39462
Q4,0.4835,50098
Q4,0.3669,42665
Q1,0.5264,39179
Q3,0.5607,45019
Q3,0.3821,42143
Q3,0.4674,35619
Q4,0.4214,41710
Q1,0.512,37731
Q1,0.4843,39996
Q1,0.3533,28625
Q3,0.6358,31687
Q3,0.6431,44265
Q1,0.6731,30747
Q1,0.3598,32661
Q2,0.361,32356
Q3,0.8316,44830
Q1,0.4005,33995
Q1,0.4522,34723
Q2,0.5572,36010
Q1,0.3,28586
Q4,0.3793,35560
Q2,0.6636,43231
Q3,0.3141,35322
Q2,0.6034,40653
Q3,0.5135,32779
Q1,0.4312,32395
Q1,0.5336,33889
Q1,0.4664,38625
Q3,0.5789,39884
Q3,0.3949,44902
Q3,0.7395,35470
Q3,0.2773,31293
Q1,0.5231,33301
Q3,0.5571,39447
Q2,0.4954,29132
Q2,0.4211,27399
Q1,0.3122,32533
Q2,0.6956,44326
Q1,0.3694,35071
Q1,0.3362,39073
Q1,0.6142,40209
Q3,0.5888,35432
Q1,0.435,35891
Q1,0.4149,36166
Q1,0.4548,35674
Q1,0.568,34857
Q1,0.4749,35254
Q1,0.375,42647
Q2,0.382,49307
Q1,0.4013,36197
Q2,0.2822,31782
Q1,0.1884,27291
Q1,0.5117,35980
Q4,0.8577,46457
Q2,0.4974,35999
Q3,0.6582,24303
Q4,0.9246,44663
Q3,0.9499,51153
Q3,1.0,55407
Q2,0.9042,47810
Q1,0.6,32102
Q1,0.3906,41539
Q2,0.5646,38035
Q3,0.7425,67462
Q1,0.3118,31274
Q4,0.6126,44713
Q4,0.521,27001
Q4,0.5894,47687
Q1,0.3605,37949
Q4,0.4652,29631
Q2,0.3363,47830
Q2,0.431,40562
Q3,0.4808,73041
Q2,0.4211,45320
Q1,0.3034,35933
Q2,0.5277,39374
Q3,0.6608,36327
Q3,0.6076,41188
Q3,0.944,75418
Q4,0.8113,61084
Q2,0.7028,49729
Q2,0.8702,59719
Q4,0.7339,33152
Q1,0.4061,33202
Q2,0.4631,36112
Q4,0.6314,48213
Q2,0.486,48197
Q2,0.686,47391
Q2,0.7169,42860
Q4,0.6552,28709
Q2,0.731,48390
Q3,0.6183,46856
Q4,0.715,45859
Q3,0.625,43563
Q4,0.4375,44961
Q3,0.9467,54333
Q3,0.497,44030
Q4,0.732,46259
Q4,0.9465,78443
Q3,0.5969,43261
Q4,0.1835,42644
Q4,0.8957,78514
Q4,0.9169,70858
Q4,0.8903,58876
Q4,0.8923,52141
Q2,0.5903,40839
Q4,0.7491,40331
Q4,0.5494,39424
Q4,0.5158,25641
Q3,0.381,35200
Q4,0.6164,49367
Q4,0.7851,47887
Q3,0.3492,36796
Q2,0.5792,42587
Q2,0.6065,43426
Q4,0.7222,37017
Q2,0.6605,28187
Q1,0.9763,77816
Q4,0.9276,64279
Q4,0.6248,42408
Q4,0.6007,34818
Q4,0.5455,32377
Q2,0.6873,51874
Q3,0.8329,52450
Q2,0.4944,50432
