Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q3,0.8492,51690
Q2,0.5328,30872
Q2,0.6827,30586
Q2,0.6618,32340
Q3,0.515,31585
Q4,0.5187,37575
Q1,0.4405,32336
Q4,0.8091,45496
Q2,0.4882,34095
Q3,0.3276,35730
Q2,0.5201,34078
Q2,0.5146,33295
Q3,0.6364,39994
Q1,0.4108,35715
Q2,0.3448,35435
Q3,0.7801,45626
Q1,0.4599,34196
Q2,0.2991,29898
Q1,0.4723,37542
Q1,0.4803,33089
Q2,0.6081,35336
Q4,0.8049,48020
Q3,0.7222,44200
Q2,0.3926,35477
Q2,0.4851,39766
Q3,0.4429,42282
Q2,0.5268,38894
Q2,0.4522,36284
Q3,0.4712,45205
Q2,0.4992,57561
Q2,0.5885,43507
Q3,0.5756,42369
Q2,0.5998,40830
Q1,0.4831,34105
Q1,0.4384,56049
Q4,0.7101,42954
Q2,0.3491,36794
Q2,0.5205,36708
Q1,0.567,40236
Q3,0.5393,45915
Q4,0.6875,41745
Q3,0.5,22088
Q1,0.4963,33204
Q3,0.5051,30884
Q2,0.6559,35432
Q2,0.6277,29794
Q3,0.5,45227
Q1,0.1517,24103
Q2,0.6255,32702
Q1,0.5276,39368
Q2,0.3214,31977
Q2,0.4518,36430
Q1,0.5154,36243
Q1,0.5115,36660
Q4,0.8166,50078
Q4,0.8026,43280
Q3,0.528,38310
Q1,0.4764,37056
Q1,0.5002,37613
Q2,0.7112,44048
Q1,0.5367,33399
Q2,0.5702,37658
Q2,0.5597,40702
Q2,0.3589,34911
Q4,0.6586,41818
Q2,0.9275,65261
Q4,0.6598,41565
Q1,0.4282,36686
Q3,0.7087,43834
Q4,0.7934,50196
Q3,0.4342,46496
Q2,0.3726,39367
Q3,0.5569,43326
Q4,0.2157,34942
Q3,0.693,41213
Q3,0.3471,37416
Q1,0.3804,35062
Q1,0.4299,38939
Q1,0.5526,35576
Q2,0.5546,40954
Q2,0.4732,42643
Q1,0.5198,47702
Q1,0.299,42710
Q1,0.1903,42402
Q1,0.6215,48742
Q3,0.4,37439
Q1,0.3112,31121
Q3,0.5631,41558
Q1,0.3671,37517
Q1,0.4577,35475
Q3,0.5662,48534
Q4,0.4773,39545
Q4,0.5113,44009
Q3,0.3527,37770
Q1,0.4432,42741
Q1,0.5713,43194
Q2,0.381,37750
Q1,0.4726,35955
Q1,0.2069,25131
Q2,0.3731,33473
Q2,0.9419,63654
Q4,0.6712,44592
Q2,0.6592,49585
Q1,0.5778,42076
Q3,0.5128,38442
Q2,0.5906,40673
Q4,0.8103,60398
Q3,0.4885,34652
Q4,0.7323,43899
Q1,0.5365,38895
Q1,0.5506,43773
Q2,0.4268,39054
Q1,0.3049,33892
Q2,0.4575,41650
Q1,0.4471,39943
Q2,0.8253,54342
Q2,0.5244,49852
Q2,0.8756,54287
Q2,0.6915,52187
Q1,0.4443,35797
Q1,0.4336,42705
Q4,0.8203,54181
Q2,0.5534,42438
Q1,0.4059,46676
Q1,0.4631,42200
Q2,0.1876,30663
Q2,0.6342,47287
Q3,0.3366,40009
Q1,0.4814,43233
Q3,0.7917,54189
Q3,0.2456,42281
Q1,0.4429,39811
Q1,0.7545,49424
Q1,0.6683,38880
Q1,0.4552,36702
Q1,0.4983,38826
Q1,0.671,47996
Q3,0.6908,45904
Q4,0.712,29730
Q2,0.5672,37044
Q4,0.6603,44082
Q3,0.375,30382
Q2,0.4408,31235
Q4,0.9362,47424
Q3,0.5667,49524
Q4,0.7452,42782
Q1,0.1579,17787
Q3,0.6432,49559
Q2,0.7591,44057
Q4,0.5023,39073
Q3,0.3595,36293
Q3,0.6304,41948
Q2,0.9125,51818
Q3,0.6089,34846
Q4,0.7985,45822
Q2,0.5404,36707
Q3,0.6042,41387
Q2,0.3179,32202
Q2,0.7159,55303
Q4,0.7103,49076
Q4,0.5738,41644
Q2,0.6159,31352
Q3,0.8228,52050
Q4,0.5409,33492
Q2,0.6726,41005
Q3,0.5723,40857
Q2,0.4241,34745
Q3,0.6524,46321
Q3,0.5371,50242
Q2,0.3939,32746
Q2,0.5273,42015
Q2,0.5602,42066
Q3,0.6557,43415
Q3,0.5602,36456
Q4,0.8796,61214
Q4,0.6975,42057
Q4,0.6067,44672
Q3,0.4486,31660
Q3,0.3182,37213
Q1,0.518,34346
Q3,0.8608,60842
Q3,0.661,42487
Q3,0.9401,64712
Q3,0.854,60651
Q2,0.462,33021
Q2,0.3563,29643
Q3,0.4975,37287
Q4,0.9342,66267
Q2,0.5835,45565
Q4,0.5188,29217
Q1,0.5315,42800
Q1,0.4487,32736
Q4,0.8797,62373
Q3,0.5774,44037
Q3,0.7125,49192
Q4,0.7707,42979
Q3,0.6144,47115
Q4,0.6549,49228
Q4,0.7265,56299
Q2,0.5855,51093
Q1,0.82,55968
Q2,0.6754,43620
Q4,0.8575,42773
Q3,0.7704,42602
Q3,0.3179,37025
Q2,0.4412,27366
Q1,0.435,35085
Q1,0.3178,31543
Q3,0.4639,40002
Q1,0.3765,30123
Q2,0.4785,30339
Q1,0.3524,34102
Q1,0.5033,33780
Q1,0.2358,41828
Q1,0.4558,36546
Q2,0.301,29408
Q1,0.5299,33828
Q1,0.2769,41828
Q3,0.5518,38956
Q1,0.6183,41828
Q4,0.4167,41179
Q2,0.4316,42918
Q3,0.6522,58827
Q1,0.7759,36139
Q2,0.5348,46839
Q3,0.7015,47398
Q4,0.6236,41811
Q3,0.6094,43294
Q3,0.6505,44169
Q3,0.4601,44083
Q3,0.7863,37518
Q2,0.5556,35487
Q3,0.4839,42989
Q4,0.8356,57725
Q4,0.5139,33464
Q3,0.6953,69868
Q3,0.513,38193
Q2,0.56,32334
Q3,0.673,39761
Q4,0.7257,44901
Q2,0.6413,44402
Q1,0.6198,43126
Q2,0.646,44650
Q1,0.5661,40672
Q1,0.7093,44674
Q3,0.6409,43360
Q1,0.5551,43295
Q1,0.3865,38442
Q3,0.4155,30259
Q2,0.6001,46343
Q1,0.4325,38090
Q2,0.8835,55313
Q2,0.4564,41703
Q1,0.5618,47069
Q1,0.5832,41381
Q1,0.5886,40037
Q1,0.5916,43335
Q1,0.4737,22826
Q1,0.2386,19671
Q1,0.4884,19294
Q1,0.4405,21547
Q1,0.4545,21547
Q1,0.2455,18585
Q1,0.6,16808
Q1,0.6286,20282
Q1,0.1538,17476
Q1,0.4361,20117
Q1,0.3241,21854
Q1,0.3284,19026
Q1,0.4011,17790
Q1,0.4026,22204
Q1,0.284,20135
Q1,0.328,19917
Q1,0.3228,23620
Q1,0.457,34038
Q1,0.5322,24315
Q1,0.4319,24713
Q1,0.1,25088
Q1,0.3106,21547
Q1,0.2337,19228
Q1,0.3014,28050
Q1,0.9523,88873
Q1,0.8281,54717
Q1,0.3846,20282
Q3,0.7344,31025
Q4,0.3793,28711
Q3,0.4309,34780
Q3,0.6667,28608
Q4,0.0833,51285
Q1,0.6383,32016
Q2,0.4019,36960
Q1,0.5698,46208
Q3,0.6471,22088
Q3,0.7115,24716
Q1,0.4,29116
Q1,0.6288,55968
Q1,0.6034,55968
Q4,0.581,37614
Q3,0.25,30259
Q2,0.87,35734
Q1,0.371,19294
Q2,0.1778,29259
Q1,0.6046,42564
Q2,1.0,49829
Q3,0.4789,24345
Q4,0.7714,55453
Q2,0.2347,62242
Q3,0.3077,30259
Q1,0.5274,41109
Q2,0.4167,29259
Q1,0.6507,56144
Q1,0.6353,56144
Q1,0.6455,56144
Q4,0.4706,36766
Q1,0.2304,40830
Q1,0.5544,45321
Q4,0.6638,58044
Q3,0.427,24369
Q4,0.526,53333
Q3,0.5455,22088
Q1,0.6869,44264
Q4,0.6723,69186
Q4,0.5656,36268
Q2,0.5263,37523
Q4,0.6528,48763
Q3,0.8,24088
Q1,0.1775,33779
Q2,0.5,27837
Q4,0.1111,26744
Q1,0.2353,14535
Q4,0.5035,40129
Q4,0.5714,72210
Q4,0.5,72210
Q4,0.5,72210
Q2,0.5,20654
Q2,0.5446,51092
Q2,0.5,30259
Q3,0.7273,30259
Q3,0.0,72210
Q4,1.0,72210
Q4,0.3333,72210
Q3,0.0,72210
Q1,0.25,41190
Q1,0.4676,35634
Q1,0.2266,32536
Q4,0.2955,36018
Q4,0.1522,36018
Q4,0.2663,36018
Q4,0.234,36018
Q4,0.2093,36018
Q4,0.2241,36018
Q4,0.3333,36018
Q3,0.3663,36018
Q4,0.1538,36018
Q4,0.0588,36018
Q4,0.25,36018
Q1,0.3941,37199
Q1,0.75,51324
